team1_id,team2_id,time,result
1,2,2017-01-05,-2
4,3,2017-01-06,-2
2,5,2017-01-07,-2
1,4,2017-01-07,-2
3,5,2017-01-07,-2
11,9,2017-01-08,-2
8,7,2017-01-08,-2
10,12,2017-01-08,-2
9,8,2017-01-08,-2
11,7,2017-01-09,-2
12,9,2017-01-09,-2
8,10,2017-01-10,-2
11,12,2017-01-10,-2
7,10,2017-01-11,-2
8,12,2017-01-11,-2
11,10,2017-01-12,-2
9,7,2017-01-12,-2
2,3,2017-01-17,-2
4,6,2017-01-18,-2
1,5,2017-01-19,-2
2,4,2017-01-21,-2
6,5,2017-01-21,-2
3,6,2017-01-21,-2
4,5,2017-01-22,-2
6,2,2017-01-22,-2
1,3,2017-01-22,-2
1,6,2017-01-23,-2
11,8,2017-01-26,-2
7,12,2017-01-26,-2
9,10,2017-01-27,-2